ticker,company,marketCap,marketCapGroup,sector
AAPL,Apple,1395121798000,Mega,consumergoods
MSFT,Microsoft,1370001726000,Mega,technology
AMZN,Amazon,1020735660000,Mega,services
GOOGL,Alphabet,996783644200,Mega,technology
FB,Facebook,598172872500,Mega,technology
BABA,Alibaba,597926862400,Mega,services
BRK.B,Berkshire Hathaway B,550415133600,Mega,financial
BRK.A,Berkshire Hathaway A,550090707900,Mega,financial
TCEHY,Tencent Holdings,484227688000,Mega,technology
V,Visa,438352210800,Mega,financial
JPM,JPMorgan Chase & Co.,424335732100,Mega,financial
JNJ,Johnson & Johnson,398991492000,Mega,healthcare
MA,Mastercard,331423840000,Mega,financial
WMT,Walmart,327041738600,Mega,services
NSRGF,Nestlé SA,321450937500,Mega,consumergoods
NSRGY,Nestle SA Reg,321321000000,Mega,consumergoods
PG,Procter & Gamble,310311087000,Mega,consumergoods
SSNLF,Samsung Electronics,300236014000,Mega,consumergoods
TSM,Taiwan Semi,298303321600,Mega,consumergoods
BAC,Bank of America,297071363000,Mega,financial
RHHVF,Roche Holding AG,289682302100,Mega,healthcare
INTC,Intel,279972420000,Mega,consumergoods
T,AT&T,273005650000,Mega,technology
UNH,UnitedHealth,266072028600,Mega,services
DIS,Walt Disney,261275279800,Mega,services
HD,Home Depot,256345050000,Mega,services
XOM,Exxon Mobil,253739666700,Mega,basicmaterials
KO,Coca-Cola,251835200000,Mega,consumergoods
IDCBF,Industrial and Commercial Bank of China,250375215000,Mega,financial
VZ,Verizon,241087440000,Mega,technology
RHHBY,Roche Holding,236048291100,Mega,healthcare
LVMUY,LVMH Moet Hennessy Louis Vuitton SE,228021668800,Mega,consumergoods
MRK,Merck & Company,224962792800,Mega,healthcare
NVS,Novartis,215401500000,Mega,healthcare
PIAIF,Ping An Insurance Company of China,211383320000,Mega,financial
PFE,Pfizer,208580982800,Mega,healthcare
CVX,Chevron,202039459500,Mega,utilities
CSCO,Cisco Systems,202016421200,Mega,consumergoods
CMCSA,Comcast,201608168400,Mega,services
PEP,PepsiCo,199710264600,Large,consumergoods
CICHF,China Construction Bank,198133717500,Large,financial
TM,Toyota Motor,196560413000,Large,consumergoods
WFC,Wells Fargo,195391744000,Large,financial
BA,Boeing,178933770500,Large,consumergoods
ADBE,Adobe,178868633200,Large,technology
ORCL,Oracle,173341406000,Large,technology
CHL,China Mobile,170274258000,Large,technology
CHLKF,China Mobile,169537140000,Large,services
CRM,Salesforce,167057580000,Large,technology
C,Citigroup,167014035000,Large,financial
NFLX,Netflix,161924171100,Large,services
SAP,SAP AG,161708928000,Large,technology
MCD,McDonald's,161628819700,Large,services
MDT,Medtronic,160832196200,Large,healthcare
LRLCY,L'Oreal,160767117500,Large,consumergoods
TSLA,Tesla,159888129700,Large,consumergoods
NKE,Nike,157885156800,Large,consumergoods
ABT,Abbott Labs,155937702000,Large,healthcare
NVDA,Nvidia,151243560000,Large,consumergoods
BMY,Bristol Myers,150707332200,Large,healthcare
HSBC,HSBC Holdings,148452519600,Large,financial
PYPL,Paypal Holdings,140853840000,Large,technology
ACN,Accenture,139620733400,Large,technology
LLY,Eli Lilly & Co,137721190600,Large,healthcare
ACGBF,Agricultural Bank of China,137543319000,Large,financial
COST,Costco,134692014200,Large,services
IBM,International Business Machines,132057333100,Large,technology
UTX,United Technologies,132053994000,Large,industrialgoods
BHPLF,BHP Group,132005936700,Large,basicmaterials
AMGN,Amgen,131795953000,Large,healthcare
TMO,Thermo Fisher,130707026400,Large,healthcare
PM,Philip Morris,130071568000,Large,consumergoods
NEE,NextEra Energy,129300803000,Large,utilities
AZN,AstraZeneca,127936488000,Large,healthcare
UNP,Union Pacific,127205208000,Large,services
TOT,Total SA,127064267200,Large,basicmaterials
ASML,ASML Holding,125701735300,Large,technology
HON,Honeywell International,125193326900,Large,industrialgoods
ABBV,AbbVie,124753255200,Large,healthcare
PROSY,Prosus NV,124610655000,Large,technology
BUD,Anheuser-Busch Inbev Sa,124610560200,Large,consumergoods
AAGIY,AIA Group,124570529600,Large,financial
